Interstitial_Fibrosis,Sum_Distance_Transform_By_Object_Area_Nuclei,Sum_Distance_Transform_By_Nuclei_Area,Sum_Distance_Transform_Nuclei,Mean_Distance_Transform_By_Object_Area_Nuclei,Mean_Distance_Transform_By_Nuclei_Area,Mean_Distance_Transform_Nuclei,Max_Distance_Transform_By_Object_Area_Nuclei,Max_Distance_Transform_By_Nuclei_Area,Max_Distance_Transform_Nuclei,Sum_Distance_Transform_By_Object_Area_Eosinophilic,Sum_Distance_Transform_By_Eosinophilic_Area,Sum_Distance_Transform_Eosinophilic,Mean_Distance_Transform_By_Object_Area_Eosinophilic,Mean_Distance_Transform_By_Eosinophilic_Area,Mean_Distance_Transform_Eosinophilic,Max_Distance_Transform_By_Object_Area_Eosinophilic,Max_Distance_Transform_By_Eosinophilic_Area,Max_Distance_Transform_Eosinophilic,Sum_Distance_Transform_By_Object_Area_Luminal_Space,Sum_Distance_Transform_By_Luminal_Space_Area,Sum_Distance_Transform_Luminal_Space,Mean_Distance_Transform_By_Object_Area_Luminal_Space,Mean_Distance_Transform_By_Luminal_Space_Area,Mean_Distance_Transform_Luminal_Space,Max_Distance_Transform_By_Object_Area_Luminal_Space,Max_Distance_Transform_By_Luminal_Space_Area,Max_Distance_Transform_Luminal_Space,Mean_Red_Nuclei,Mean_Green_Nuclei,Mean_Blue_Nuclei,Standard_Deviation_Red_Nuclei,Standard_Deviation_Green_Nuclei,Standard_Deviation_Blue_Nuclei,Mean_Red_Eosinophilic,Mean_Green_Eosinophilic,Mean_Blue_Eosinophilic,Standard_Deviation_Red_Eosinophilic,Standard_Deviation_Green_Eosinophilic,Standard_Deviation_Blue_Eosinophilic,Mean_Red_Luminal_Space,Mean_Green_Luminal_Space,Mean_Blue_Luminal_Space,Standard_Deviation_Red_Luminal_Space,Standard_Deviation_Green_Luminal_Space,Standard_Deviation_Blue_Luminal_Space,Contrast_Nuclei,Homogeneity_Nuclei,Correlation_Nuclei,Energy_Nuclei,Contrast_Eosinophilic,Homogeneity_Eosinophilic,Correlation_Eosinophilic,Energy_Eosinophilic,Contrast_Luminal_Space,Homogeneity_Luminal_Space,Correlation_Luminal_Space,Energy_Luminal_Space,Nuclei_Area_By_Object_Area,Nuclei_Area,Eosinophilic_Area_By_Object_Area,Eosinophilic_Area,Luminal_Space_Area_By_Object_Area,Luminal_Space_Area,Nuclei_Number,Mean_Aspect_Ratio_Nuclei,Standard_Deviation_Aspect_Ratio_Nuclei,Mean_Nuclear_Area,Total_Object_Area,Total_Object_Perimeter,Total_Object_Aspect_Ratio,Major_Axis_Length,Minor_Axis_Length
30,0.109125329443181,1.79080621663108,3718.35906013099,0.000121970294228,0.0021353940385688,1.79080621639941,0.0003614169481754,0.0062008102683341,6.30432353391624,2.65398176527844,3.91074433941454,79605.9959392209,0.0002889533001693,0.0004104684030563,3.9107443376133,0.0010443371344162,0.0015120067477858,15.6534680307354,2.88723874968402,6.77658064362585,135426.382545016,0.0002935511126441,0.0018307233350637,6.77658064458096,0.0009384457894854,0.0047624298121336,23.0690561496534,84.9400345511806,54.764549613048,77.391340603989,14.9919780281804,12.064994876244,15.0297338216245,153.00183421949,111.718082366059,140.987593590775,34.077710980474,36.5452218890273,32.0507564676331,222.577509617915,216.944342718018,219.755321370882,24.9943960375568,29.0925362842158,25.9700861113773,76.8864807954033,0.956638838386522,0.769922543831903,0.950276259927744,1383.85493044929,0.560644729614245,0.827317604826059,0.517211256275997,1346.21134447258,0.833999506676554,0.861379602407936,0.779258563283763,0.0601776570724617,1990.3488424365,0.644651723061563,19481.9318948078,0.295170619865976,11342.9721285682,15.4322319622387,2.9466600019942,1.56448607376992,128.892268963899,32815.2528658125,704.899144822432,1.89164268268366,262.770116044242,140.817671602057
35,0.1142405267877,1.83742764524481,3201.06595028484,0.0001541663112542,0.0026986694291972,1.83742764502829,0.0004438959394127,0.0075449314682133,6.13916271350938,2.62761477218038,3.92501022585528,76976.2548240689,0.0003195497308896,0.0005308113392694,3.92501022681907,0.0011321882178828,0.00189128384872,15.2449750614546,2.58423335472188,6.18103848970823,80134.4427889171,0.0004311666108813,0.0027161266019517,6.18103848806246,0.0013792646633105,0.006052353061249,21.3595328197196,78.4395704826082,45.5662355412102,71.215394741171,16.2164141602803,11.9983658045269,15.8219928533147,156.494791948655,112.368597007743,144.105296745257,37.6191896759964,40.4517912398782,35.0584246680723,225.633110934298,219.191260470612,222.420349686406,22.2086722404673,26.9821009426405,23.4221336599589,62.740386411743,0.954160243527648,0.763851449522697,0.947745340046581,1470.49865747568,0.568274671207262,0.821860555426878,0.530065431200631,1467.28921743963,0.799709298799252,0.876953192620066,0.740676013901984,0.0612335653754761,1669.50629978277,0.609810682711206,16672.1485879797,0.328955751913317,8780.08595220854,12.0997103548154,2.85334806265845,1.42905509695124,138.253348183496,27121.740839971,623.117608607086,1.83319985524395,233.37249722509,126.410250572932
10,0.118292311808834,1.82132990308639,4058.84318170023,0.0001337283079274,0.0021354394607028,1.82132990222754,0.0003927765815006,0.0061944273390707,6.21410975412191,1.62608596634299,2.96735933195693,47100.3761798632,0.0002279243653881,0.0004623067343902,2.96735933079984,0.0008500703757839,0.0017099031152706,12.4016816592905,2.91882186373076,6.19669420219738,92208.8994865506,0.0004256049601067,0.0013048043156862,6.19669420345877,0.0014270544328274,0.0038516419254557,23.5646998852506,130.54919356579,93.7722420536248,150.282342587921,15.8525289565565,17.9856057037909,11.1786094240387,182.558575792502,154.275124676762,194.266398511456,22.1907023663414,24.1996560410909,17.2488341735627,225.926036314654,215.082197324215,227.933983887568,15.2858584678735,19.0903037632454,13.6753308759196,220.001412615378,0.953211917086198,0.786563178633765,0.945496353579884,2176.43581961517,0.642760334484729,0.820717524230365,0.592477016350832,2038.21731168185,0.772365888298317,0.877694172404766,0.670999723372213,0.0641698165464498,1948.58242539081,0.51554669779052,15131.7364992894,0.42028348566303,12846.5839649455,13.0977025106585,4.08793590290539,2.49071540989875,147.73644534281,29926.9028896258,652.649958085183,1.71438289790787,235.519112491955,138.313034197858
5,0.146312513122553,2.19614895971951,3161.62710192084,0.0001656772298212,0.0025187521565495,2.19614896069405,0.0005141743554024,0.0077902396570543,7.35534963609019,2.195384582925,3.19609815475907,54557.0426974039,0.0002344073194023,0.0003611610232141,3.19609815546091,0.0009056430604044,0.0013967691655627,13.038909894941,1.22268149308417,3.7674996267981,23847.0903454217,0.0002750206859949,0.0013241621703658,3.76749962650587,0.0010061116190347,0.0041185861571969,14.5088431177208,69.3773281822779,44.7539635843259,61.0154055033409,15.0975947506622,11.5350067761415,15.3883067854742,153.176885487307,118.496068883732,142.354175120774,35.7996636399824,37.1744811186789,34.495400670072,213.312220250929,205.853603067633,210.340249712628,30.3693074881549,34.071155417248,31.2280265418675,53.460397154672,0.952029691648062,0.79389814445971,0.94398698110754,1935.84158829878,0.514488792019986,0.792167742924943,0.474252681397977,1985.49292168295,0.802300988401151,0.833238564975204,0.769415099868956,0.0662293018339841,1403.84243128146,0.66179585897349,14842.6094979997,0.271974839192525,5243.60472319009,8.75119370241321,2.45875890498453,1.22248250883797,169.500079104672,21490.0566524713,558.980897827012,1.70178540813816,205.079790790296,120.818807882927
20,0.102447297479792,1.75241923755667,3636.2435739877,0.0001270096773156,0.0023752638016894,1.75241923829792,0.0003653818746188,0.0066354799339578,6.03604884828441,2.16214052086944,3.28508304480887,70178.9723607765,0.0002554375066595,0.0003920223406815,3.28508304387058,0.000950808758004,0.0014821689876788,13.9711379444062,1.72499283078038,4.2035857252262,70349.0331105687,0.000242939093983,0.0014045775163085,4.20358572607039,0.0008768864866562,0.0037615592199638,17.413170456863,100.858623348829,68.9148591917717,122.564644923494,19.719376312365,16.0694459596093,13.4042964244738,165.750128400748,132.1044036502,178.078366683964,32.6991648573517,34.6330861820021,25.9447240095079,222.305849292816,214.605485449379,222.313929868351,22.6071881551663,26.3304128552193,20.8649561987429,128.449867981006,0.957551334977017,0.755223130104794,0.951532972990505,2025.38003699354,0.569299230361516,0.80521539263569,0.527229344794638,2117.83542685399,0.783838859434318,0.846507985149173,0.744359977084114,0.0575264290409337,1989.7442949093,0.616706429862882,20505.0493465964,0.325767141096184,12070.8827774527,16.5289643066121,3.21297726820473,1.67153473774575,124.521663924616,34565.6764189585,726.173465044484,2.05869908710616,279.296882063055,137.078623973224
60,0.11743157262075,1.81709456137747,2809.2935558469,0.0001823965946483,0.0030520551962009,1.81709456162682,0.0004987072836136,0.0081824242594433,5.75196577097131,1.95864646811145,3.17262546863751,33149.0668801653,0.0003714411035031,0.000621038550368,3.1726254657887,0.0012988182484677,0.0022147122862582,12.2547589258336,3.15594620063582,5.74772464969631,110314.329074783,0.000380566036421,0.0015443949650628,5.74772464906284,0.0012816325002294,0.0046663840689758,21.094913500157,103.379218323521,77.2752370044037,125.960311444815,17.7875415800895,14.7482837122388,13.0285088375067,169.821228596422,136.167904976961,181.25219853687,31.7484019229884,33.2539142193985,24.6649031327338,229.915902161996,219.590868971499,230.222260466792,18.8170946678625,22.3150472555047,17.1525129939148,151.937531833549,0.953837396047521,0.770510330385232,0.94670571878791,1940.201965622,0.62517829587789,0.792014194939237,0.585730688676266,1998.32843614044,0.783067460692106,0.857643268610233,0.696440459844942,0.0636905416057692,1425.76768558952,0.538098139355261,9462.54934497817,0.398211319038969,10701.3484716157,11.2768558951965,3.08836014837324,1.50285317422527,118.185547742755,21589.6655021834,559.139609499685,1.88887576804786,208.102798013891,114.237521030484
15,0.130943921705541,1.98689511137482,4278.00812684363,0.0001432860586052,0.0022498892084303,1.98689511138878,0.000424716297823,0.0066099673875398,6.77364568671027,2.06561514460899,3.48965053581025,59961.6771272352,0.0002687243195522,0.0005205570051518,3.48965053543066,0.0009818601759237,0.0018756820743218,14.1180900700363,3.64693344332348,7.11840083292881,145949.147865685,0.0011277005362583,0.0026729571186099,7.11840083120943,0.0020074737692944,0.0052343325242229,24.7336859225135,78.5528183266583,57.1619357671577,103.01440607453,20.1034509071934,14.7899644666672,15.4075672996132,154.839439595492,119.792839075697,167.806353541181,36.7059448481155,38.8128783540115,29.454690601322,227.379916611597,222.013549506413,227.068120222421,20.5247858986154,24.1924373079366,18.9848604412642,84.9799399727537,0.957456686190712,0.769030290232647,0.950681219518864,1409.64972044322,0.663867886154851,0.816048274122058,0.627764240108459,1506.57170417946,0.790133306858653,0.8927075023225,0.723293364657429,0.0652925865410282,2080.39871794872,0.527789578273108,15743.8062271062,0.406917835185864,13758.5007326007,14.3776556776557,3.13235998657118,1.64490203498586,143.474675494114,31582.7056776557,739.060911834266,2.52994618931312,300.066497854931,118.988807574489
30,0.135833594049285,2.10968250500457,5229.42884787816,0.0001528081824336,0.0025388319670076,2.10968250484258,0.000438919791521,0.0071707314584135,7.07584865108972,2.68642608898864,3.82120117170334,84418.3715737238,0.0003436276090917,0.000470044044865,3.82120117240899,0.0012075316827369,0.001682026564838,15.1854617611414,1.98444475683934,4.98651739262328,103800.284366142,0.0002502636223881,0.0022180315009553,4.98651739229945,0.00084414218083,0.005074595805278,19.2425556644199,61.8424639751276,38.7771871517576,56.6753886183929,15.5403484118125,10.3864605890083,15.6023901252919,146.643153483636,107.230815769826,139.291346298413,41.1456366892179,41.881605562167,38.204559467174,223.178569132779,218.057251545675,220.603060636089,27.953365770172,31.5402778171088,28.2346085332536,41.0230095179322,0.955730719526923,0.776615944985646,0.947933225165551,1725.54238178429,0.541282258566618,0.785382334505446,0.501438459321048,1799.21741526317,0.822697798002153,0.834265329158379,0.78120084895287,0.0636178007200745,2275.55510411376,0.656192207886502,21744.5599288979,0.280189991393424,11674.2369222956,15.1973082783139,2.60399131234167,1.23711287485532,144.214984720543,35694.3519553073,718.076365969147,1.92937460201543,268.872044945502,140.361784954019
35,0.127917279803198,1.88667624123323,6466.83444305029,9.86127410360011E-05,0.0014815588799444,1.88667624123349,0.0003036143274467,0.0045347873979599,6.79909812561874,4.57180715075071,5.95484133750363,214918.270022773,0.0003253559900788,0.0004170802968551,5.95484133575583,0.0011366650872416,0.0014767886421254,23.2463957605457,1.38952023410822,5.06990619282126,91508.4763813118,0.0001889957957713,0.0050368122000749,5.06990619231989,0.0006001893590365,0.0086186893371454,18.2652297631549,84.8772789863061,47.2874973672088,80.3855966726831,12.4999408610931,9.65803422551701,11.6329495304349,153.638545846377,108.343054055998,143.049069267354,32.3891805501477,35.2736378856804,29.9450014420623,227.50689010405,215.377470078257,223.237074089054,21.1599161875778,26.3593281266424,21.8931536743377,65.7863033626417,0.956256327666411,0.791210487766568,0.946201101083039,1006.54836998442,0.537239675837147,0.876615934931542,0.469451346252573,936.62794250294,0.89879252562084,0.859028165598099,0.857279829252449,0.067455475703779,3268.52987197724,0.738625612210787,34733.9269796112,0.193918912085433,10616.246799431,19.7252252252252,3.24160384214656,1.98934140454998,155.804106251937,48618.7036510194,863.727738072689,2.01529311874416,329.416014774982,162.211513365469
5,0.150547264555545,2.33106890113077,7164.90580920763,0.0001019941093714,0.0015902801291305,2.33106890201439,0.0003343096575844,0.0051936681404947,8.5915409356104,3.71302651641189,5.04348062108303,174390.999051104,0.0002266105839348,0.0003060062062644,5.04348062056347,0.0008440880293455,0.0011511773213842,20.5329010335277,1.11140484889209,4.01938924030974,60634.892553822,0.0001540333225535,0.0012195963752444,4.01938924140613,0.000554494746935,0.0034848657276811,16.4796625359511,64.4742592650946,37.4571139866181,58.1493322911147,15.5904437657438,9.93016677256658,15.7490571721879,151.680239001229,102.522336665692,136.105055877737,40.671563209389,41.5893488989329,37.2997876144357,229.906164499924,224.703851137788,226.127076818325,22.9063498540894,27.4306071216857,23.8038717039261,39.4264096790157,0.956645729251275,0.785805448255182,0.947970978050918,1437.97869671435,0.511382331418619,0.819256411209847,0.469674776613146,1509.46916762924,0.856325466926546,0.852304635605323,0.830194867700747,0.0643958122323921,2920.00898937619,0.715836224405977,32543.2805774993,0.219767963361631,11117.7112503405,18.9215472623263,2.65437793989367,1.40908360603004,160.688926818763,46581.000817216,854.914218769878,1.98527753233945,322.579677974258,165.684947542629
